,ORIGEN,DESTINO,POR RENDIR S/
1255,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1256,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1258,"Lurin, Lima, Peru","Arequipa, Peru",350
1259,"Lurin, Lima, Peru","Arequipa, Peru",350
1260,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1261,"Trujillo, Peru","Piura, Peru",200
1262,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1263,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1265,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1266,"Lurin, Lima, Peru","San Martin de Porres, Lima, Peru",50
1267,"Rmb Chilca, Lima, Peru","RMB, Lima, Peru",50
1269,"Metalwork, Peru","Suc. Piura, Peru",300
1272,"Samred, Lima, Peru","RMB, Lima, Peru",50
1273,"Samred, Lima, Peru","RMB, Lima, Peru",50
1274,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1275,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1276,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1277,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1278,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1279,"Macropolis, Lima, Peru","Chosica, Lima, Peru",50
1280,"Macropolis, Lima, Peru","Chosica, Lima, Peru",50
1281,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1283,"Lurin, Lima, Peru","Cusco, Peru",400
1284,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1285,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1287,"Trujillo, Peru","Cajamarca, Peru",150
1288,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1289,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1290,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1294,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",150
1295,"Lurin, Lima, Peru","Ancon, Lima, Peru",50
1296,"Z1, Lima, Peru","Solis, Lima, Peru",50
1297,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1298,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1299,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1300,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1301,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1302,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1303,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1304,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1305,"Nicolas Ayllon, Lima, Peru","Lurin, Lima, Peru",50
1306,"Lurin, Lima, Peru","Arequipa, Peru",300
1307,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1308,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1309,"Nicolas Ayllon, Lima, Peru","Cusco, Peru",400
1311,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1312,"Macropolis, Lima, Peru","Pesco, Lima, Peru",50
1313,"Macropolis, Lima, Peru","Cusco, Peru",300
1314,"Macropolis, Lima, Peru","Cusco, Peru",300
1323,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1324,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1325,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1326,"Lurin, Lima, Peru","Cusco, Peru",500
1327,"Trujillo, Peru","Cajamarca, Peru",150
1328,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1329,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1330,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
1331,"Av. Canada, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1332,"Suc. Piura, Peru","Lurin, Lima, Peru",350
1333,"Cerro de Pasco, Peru","San Martin de Porres, Lima, Peru",150
1334,"Lurin, Lima, Peru","Canada, Lima, Peru",50
1335,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1336,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1337,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1338,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1339,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1340,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1341,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1342,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1343,"Samred, Lima, Peru","RMB, Lima, Peru",50
1344,"Solis, Lima, Peru","Z1, Lima, Peru",50
1345,"Z1, Lima, Peru","Solis, Lima, Peru",0
1346,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1347,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",400
1348,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1349,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1350,"Macropolis, Lima, Peru","Samred, Lima, Peru",50
1351,"Av. Canada, Lima, Peru","Macropolis, Lima, Peru",50
1352,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1353,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1354,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1355,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1356,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1359,"Lurin, Lima, Peru","Huaraz, Peru",150
1360,"Lurin, Lima, Peru","Arequipa, Peru",250
1361,"Canada, Lima, Peru","Trujillo, Peru",200
1362,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1363,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1364,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1365,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1366,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1367,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1368,"Lurin, Lima, Peru","Arequipa, Peru",350
1369,"Iquitos, Peru","Belen / Maynas, Peru",700
1370,"Iquitos, Peru","Belen / Maynas, Peru",0
1371,"Av. Canada, Lima, Peru","Macropolis, Lima, Peru",50
1372,"Lurin, Lima, Peru","Icalu, Lima, Peru",50
1373,"Huaraz, Peru","Metalval, Peru",150
1374,"Remsina sac, Lima, Peru","Pesco, Lima, Peru",0
1375,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1376,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1377,"Pesco, Lima, Peru","Lurin, Lima, Peru",0
1378,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1379,"Macropolis, Lima, Peru","Metalval, Peru",700
1381,"Macropolis, Lima, Peru","Metalval, Peru",700
1383,"Faucett, Lima, Peru","Faucett, Lima, Peru",0
1384,"Trujillo, Peru","Huaraz, Peru",150
1385,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1386,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1387,"Arequipa, Peru","Divemotor Panamericana Sur, Lima, Peru",350
1388,"Huaraz, Peru","Lurin, Lima, Peru",250
1392,"Samred, Lima, Peru","RMB, Lima, Peru",50
1394,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1395,"Trujillo, Peru","Nicolas Ayllon, Lima, Peru",250
1396,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1397,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1398,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1400,"Lurin, Lima, Peru","Trujillo, Peru",250
1401,"Lurin, Lima, Peru","Trujillo, Peru",250
1402,"Divemotor Panamericana Sur, Lima, Peru","Av. Canada, Lima, Peru",50
1403,"Remsina sac, Lima, Peru","Salvador Rodrigo, Lima, Peru",0
1404,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1406,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1407,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1409,"Solis, Lima, Peru","Z1, Lima, Peru",50
1410,"Solis, Lima, Peru","Z1, Lima, Peru",50
1412,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1413,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1414,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1415,"Samred, Lima, Peru","RMB, Lima, Peru",50
1417,"Trujillo, Peru","Lurin, Lima, Peru",200
1418,"Trujillo, Peru","Lurin, Lima, Peru",200
1419,"Solis, Lima, Peru","Z1, Lima, Peru",50
1420,"Solis, Lima, Peru","Z1, Lima, Peru",50
1421,"Lurin, Lima, Peru","Canada, Lima, Peru",50
1422,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",50
1423,"Lurin, Lima, Peru","Cusco, Peru",800
1424,"Salvador Rodrigo, Lima, Peru","Lurin, Lima, Peru",50
1425,Entidad Piura,Suc. Piura,150
1426,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1427,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1428,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1429,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1430,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1431,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
1432,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
1433,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
1434,"Lurin, Lima, Peru","Apple Glass, Lima, Peru",50
1435,"Canada, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1436,"Remsina sac, Lima, Peru","Pesco, Lima, Peru",0
1437,"Remsina sac, Lima, Peru","Pesco, Lima, Peru",0
1438,"Remsina sac, Lima, Peru","Pesco, Lima, Peru",0
1439,"Lurin, Lima, Peru","Trujillo, Peru",200
1440,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1441,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1442,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1443,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",0
1444,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",0
1445,"Divemotor Panamericana Sur, Lima, Peru","Faucett, Lima, Peru",50
1446,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1447,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1448,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1449,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1450,"Lurin, Lima, Peru","Arequipa, Peru",300
1451,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1452,"Samred, Lima, Peru","RMB, Lima, Peru",50
1453,"Samred, Lima, Peru","RMB, Lima, Peru",0
1454,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1455,"Macropolis, Lima, Peru","Chosica, Lima, Peru",0
1456,"Lurin, Lima, Peru","Pesco, Lima, Peru",50
1457,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1458,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1459,"Divemotor Panamericana Sur, Lima, Peru","Canada, Lima, Peru",0
1460,"Suc. Piura, Peru","Lurin, Lima, Peru",400
1461,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1462,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1464,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",50
1465,"Lurin, Lima, Peru","Inka lider Automotriz, Peru",250
1466,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1467,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1468,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1469,"Macropolis, Lima, Peru","Suc. Huancayo, Peru",200
1470,"Macropolis, Lima, Peru","Suc. Huancayo, Peru",200
1471,"Solis, Lima, Peru","Lurin, Lima, Peru",0
1472,"Solis, Lima, Peru","Lurin, Lima, Peru",0
1473,"Solis, Lima, Peru","Lurin, Lima, Peru",0
1474,"Z1, Lima, Peru","Lurin, Lima, Peru",50
1475,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1476,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1477,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1478,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1479,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1480,"Canada, Lima, Peru","Callao, Lima, Peru",0
1481,"Canada, Lima, Peru","Callao, Lima, Peru",0
1482,"Callao, Lima, Peru","Canada, Lima, Peru",0
1483,"Callao, Lima, Peru","Canada, Lima, Peru",0
1484,"Macropolis, Lima, Peru","Samred, Lima, Peru",150
1486,"Chosica, Lima, Peru","Macropolis, Lima, Peru",50
1487,"Canada, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1489,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1490,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1491,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1492,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1495,"Trujillo, Peru","Cajamarca, Peru",150
1497,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
1499,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1500,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1501,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1502,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1503,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1504,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1505,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1506,"Solis, Lima, Peru","Lurin, Lima, Peru",150
1507,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",50
1509,"Macropolis, Lima, Peru","Canada, Lima, Peru",50
1510,"Lurin, Lima, Peru","Arequipa, Peru",250
1511,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1512,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1513,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1514,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1515,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1516,"Lurin, Lima, Peru","Av. Canada, Lima, Peru",0
1517,"Lurin, Lima, Peru","RMB, Lima, Peru",0
1518,"Av. Canada, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1519,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",150
1520,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1521,"Macropolis, Lima, Peru","Samred, Lima, Peru",0
1522,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
1523,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
1524,"Solis, Lima, Peru","Z1, Lima, Peru",50
1525,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",50
1526,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1527,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1528,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1529,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1530,"Trujillo, Peru","Cajamarca, Peru",150
1531,"Cajamarca, Peru","Lurin, Lima, Peru",450
1532,"Trujillo, Peru","Cajamarca, Peru",150
1533,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1534,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1535,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
1536,"Lurin, Lima, Peru","Suc. Piura, Peru",400
1537,"Lurin, Lima, Peru","Suc. Piura, Peru",450
1538,"Lurin, Lima, Peru","Suc. Piura, Peru",450
1539,"Canada, Lima, Peru","Oxapampa, Peru",650
1540,Cia Cusco,Cusco,0
1541,Cia Cusco,Cusco,0
1542,"Rmb Chilca, Lima, Peru","RMB, Lima, Peru",0
1543,"Lurin, Lima, Peru","Suc. Piura, Peru",350
1544,"Z1, Lima, Peru","Lurin, Lima, Peru",50
1545,"Z1, Lima, Peru","Lurin, Lima, Peru",150
1546,"Z1, Lima, Peru","Lurin, Lima, Peru",0
1547,"Z1, Lima, Peru","Lurin, Lima, Peru",0
1549,"Canada, Lima, Peru","Santiago De Surco, Lima, Peru",150
1550,"Nicolas Ayllon, Lima, Peru","Pesco, Lima, Peru",0
1551,"Nicolas Ayllon, Lima, Peru","Lurin, Lima, Peru",50
1552,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1553,"Macropolis, Lima, Peru","Chosica, Lima, Peru",0
1554,"Lurin, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
1555,"Macropolis, Lima, Peru","Famedi, Lima, Peru",100
1556,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1557,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1558,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1559,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1560,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1561,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1562,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1563,"Divemotor Panamericana Sur, Lima, Peru","Av. Canada, Lima, Peru",50
1564,"Z1, Lima, Peru","Lurin, Lima, Peru",50
1565,"Z1, Lima, Peru","Lurin, Lima, Peru",50
1567,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1568,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1569,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1570,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1571,"Macropolis, Lima, Peru","Solis, Lima, Peru",0
1572,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
1573,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1574,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1575,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1577,"Samred, Lima, Peru","MCM SOLUTIONS srl, Lima, Peru",50
1578,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1579,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1580,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
1581,"Solis, Lima, Peru","Macropolis, Lima, Peru",0
1582,"Solis, Lima, Peru","Macropolis, Lima, Peru",50
1583,"Solis, Lima, Peru","Macropolis, Lima, Peru",0
1585,"Solis, Lima, Peru","Macropolis, Lima, Peru",50
1586,"Solis, Lima, Peru","Macropolis, Lima, Peru",0
1587,"Solis, Lima, Peru","Macropolis, Lima, Peru",50
1588,"Lurin, Lima, Peru","Trujillo, Peru",350
1589,"Lurin, Lima, Peru","Trujillo, Peru",100
1590,"Pesco, Lima, Peru","Lurin, Lima, Peru",0
1591,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1592,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1593,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1594,"Nicolas Ayllon, Lima, Peru","Lurin, Lima, Peru",50
1595,"Lurin, Lima, Peru","Cajamarca, Peru",250
1596,"Lurin, Lima, Peru","Suc. Piura, Peru",400
1597,"Samred, Lima, Peru","RMB, Lima, Peru",0
1598,"Lurin, Lima, Peru","Arequipa, Peru",0
1599,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1600,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1601,"Lurin, Lima, Peru","Cusco, Peru",500
1602,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1603,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1604,"Av. Canada, Lima, Peru","Arequipa, Peru",350
1605,"Santiago De Surco, Lima, Peru","Canada, Lima, Peru",0
1606,Arequipa,AQP Sistemas S.A.C,200
1607,Arequipa,AQP Sistemas S.A.C,0
1608,"Solis, Lima, Peru","Macropolis, Lima, Peru",50
1609,"Macropolis, Lima, Peru","Solis, Lima, Peru",0
1610,"Suc. Lambayeque, Peru","Trujillo, Peru",400
1611,"Oxapampa, Peru","Canada, Lima, Peru",0
1612,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1613,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1614,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1615,"Canada, Lima, Peru","Oza, Peru",250
1616,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1617,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1618,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1619,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1620,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1621,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1622,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1623,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1624,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",0
1625,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1626,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1627,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1628,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1629,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1631,"Lurin, Lima, Peru","Arequipa, Peru",450
1632,"Lurin, Lima, Peru","RMB, Lima, Peru",50
1633,"RMB, Lima, Peru","Lurin, Lima, Peru",0
1634,Suc. Piura,Entidad Piura,0
1635,"Trujillo, Peru","Canada, Lima, Peru",150
1636,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
1637,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
1638,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1639,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",50
1640,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1641,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1642,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1643,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1644,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1648,"Lurin, Lima, Peru","Canada, Lima, Peru",50
1649,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1651,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1652,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1653,"Lurin, Lima, Peru","Arequipa, Peru",250
1654,"Lurin, Lima, Peru","Arequipa, Peru",250
1655,"Lurin, Lima, Peru","Arequipa, Peru",250
1656,"Canada, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
1657,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1658,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1659,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1660,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1661,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1662,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1663,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1664,"Lurin, Lima, Peru","Trujillo, Peru",250
1666,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",350
1667,"Canada, Lima, Peru","Lurin, Lima, Peru",0
1668,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1669,"Divemotor Panamericana Sur, Lima, Peru","Ica, Peru",0
1670,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
1671,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1672,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
1673,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1674,"Trujillo, Peru","Huaraz, Peru",200
1675,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1676,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1677,"Av. Canada, Lima, Peru","Remsina sac, Lima, Peru",0
1678,"Av. Canada, Lima, Peru","Remsina sac, Lima, Peru",0
1679,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
1680,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
1681,"Lurin, Lima, Peru","Tingo Maria, Peru",250
1682,"Lurin, Lima, Peru","Tingo Maria, Peru",250
1683,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1684,"Lurin, Lima, Peru","Moquegua, Peru",400
1687,"Nicolas Ayllon, Lima, Peru","Tingo Maria, Peru",250
1688,"Nicolas Ayllon, Lima, Peru","Tingo Maria, Peru",250
1689,"Macropolis, Lima, Peru","San Martin de Porres, Lima, Peru",50
1690,"Lurin, Lima, Peru","Canada, Lima, Peru",0
1691,"Lurin, Lima, Peru","Canada, Lima, Peru",0
1692,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1693,"Trujillo, Peru","Canada, Lima, Peru",0
1694,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1695,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1696,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1697,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1698,"Macropolis, Lima, Peru","Lurin, Lima, Peru",50
1699,"Suc. Lambayeque, Peru","Lurin, Lima, Peru",250
1700,"Trujillo, Peru","Lurin, Lima, Peru",200
1701,"Ica, Peru","Macropolis, Lima, Peru",0
1702,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1703,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1704,"Samred, Lima, Peru","RMB, Lima, Peru",0
1707,"Lurin, Lima, Peru","Arequipa, Peru",0
1708,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1709,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1711,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1712,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1713,"Lurin, Lima, Peru","Trujillo, Peru",850
1714,"Lurin, Lima, Peru","Trujillo, Peru",300
